Index,EmpCode,EState,Division,CropType,Field,Area (Ha),NumberOfTree,Type
253,819817,EST,HO,T,3A,3.3,48100,R
254,823150,EST,HO,T,19,5.8,30015,R
255,215534,EST,HO,T,4B,2.5,14308,R
256,121402,EST,HO,T,FW1,0.3,4500,R
257,121301,EST,HO,T,6A,0.8,9302,R
258,121503,EST,HO,T,3A,3.3,48100,C
259,124432,EST,HO,T,19,5.8,30015,R
260,124735,EST,HO,T,4B,2.5,14308,R
261,124634,EST,HO,T,FW1,0.3,4500,R
262,116251,EST,HO,T,FW4,0.5,5855,R
263,117867,EST,HO,T,6A,0.8,9302,C
264,119988,EST,HO,T,4B,2.5,14308,C
265,122109,EST,HO,T,FW1,0.3,4500,R
266,116453,EST,HO,T,FW4,0.5,5855,C
267,117463,EST,HO,T,6A,0.8,9302,R
268,122008,EST,HO,T,3A,3.3,48100,R
269,123826,EST,HO,T,19,5.8,30015,R
270,124533,EST,HO,T,4B,2.5,14308,R
271,123220,EST,HO,T,GPM9,5.0,31505,C
272,121200,EST,HO,T,6A,0.8,9302,R
273,220685,EST,HO,T,3A,3.3,48100,R
274,220786,EST,HO,T,19,5.8,30015,R
275,215433,EST,HO,T,4B,2.5,14308,R
276,217857,EST,HO,T,FW1,0.3,4500,C
277,206747,EST,HO,T,FW4,0.5,5855,C
278,207454,EST,HO,T,GPM9,5.0,31505,C
279,213918,EST,HO,T,4C,2.0,26000,R
280,205333,EST,HO,T,6A,0.8,9302,R
281,205535,EST,HO,T,3A,3.3,48100,R
282,207757,EST,HO,T,19,5.8,30015,R
283,208363,EST,HO,T,4B,2.5,14308,R
284,208464,EST,HO,T,FW1,0.3,4500,C
285,208868,EST,HO,T,FW4,0.5,5855,C
286,211999,EST,HO,T,GPM9,5.0,31505,C
287,214625,EST,HO,T,4C,2.0,26000,R
288,215130,EST,HO,T,6A,0.8,9302,R
289,215332,EST,HO,T,3A,3.3,48100,R
290,216948,EST,HO,T,19,5.8,30015,R
291,218261,EST,HO,T,4B,2.5,14308,R
292,215837,EST,HO,T,FW1,0.3,4500,C
293,207555,EST,HO,T,6A,0.8,9302,R
294,207959,EST,HO,T,3A,3.3,48100,R
295,209878,EST,HO,T,19,5.8,30015,R
296,211393,EST,HO,T,4B,2.5,14308,R
297,211898,EST,HO,T,FW1,0.3,4500,C
298,212504,EST,HO,T,FW4,0.5,5855,C
299,212605,EST,HO,T,6A,0.8,9302,R
300,213009,EST,HO,T,3A,3.3,48100,R
301,213716,EST,HO,T,19,5.8,30015,R
302,216039,EST,HO,T,4B,2.5,14308,R
303,216746,EST,HO,T,FW1,0.3,4500,C
304,217453,EST,HO,T,FW4,0.5,5855,C
305,218059,EST,HO,T,6A,0.8,9302,R
306,218463,EST,HO,T,3A,3.3,48100,R
307,218564,EST,HO,T,19,5.8,30015,R
308,218766,EST,HO,T,4B,2.5,14308,R
309,218968,EST,HO,T,FW1,0.3,4500,C
310,219069,EST,HO,T,6A,0.8,9302,R
311,219877,EST,HO,T,3A,3.3,48100,R
312,220180,EST,HO,T,19,5.8,30015,R
313,220382,EST,HO,T,4B,2.5,14308,R
314,220483,EST,HO,T,FW1,0.3,4500,C
315,205737,EST,HO,T,FW4,0.5,5855,C
316,820120,EST,HO,T,6A,0.8,9302,R
317,579639,EST,HO,T,3A,3.3,48100,R
318,580346,EST,HO,T,19,5.8,30015,R
319,583679,EST,HO,T,4B,2.5,14308,R
320,586204,EST,HO,T,FW1,0.3,4500,C
321,587416,EST,HO,T,FW4,0.5,5855,C
322,589840,EST,HO,T,GPM9,5.0,31505,C
323,590446,EST,HO,T,4C,2.0,26000,R
324,590648,EST,HO,T,6A,0.8,9302,R
325,1053430,EST,HO,T,3A,3.3,48100,R
326,1053632,EST,HO,T,19,5.8,30015,R
327,1083730,EST,HO,T,4B,2.5,14308,R
328,1088881,EST,HO,T,FW1,0.3,4500,R
329,1088982,EST,HO,T,6A,0.8,9302,R
330,1089083,EST,HO,T,3A,3.3,48100,C
331,1089184,EST,HO,T,GPM9,5.0,31505,C
332,1089285,EST,HO,T,6A,0.8,9302,R
333,1089386,EST,HO,T,3A,3.3,48100,R
334,1090194,EST,HO,T,19,5.8,30015,R
335,1092113,EST,HO,T,4B,2.5,14308,R
336,826180,EST,HO,T,FW1,0.3,4500,C
337,121604,EST,HO,T,FW4,0.5,5855,C
338,123018,EST,HO,T,GPM9,5.0,31505,C
339,123422,EST,HO,T,4C,2.0,26000,R
340,124331,EST,HO,T,6A,0.8,9302,R
341,1058581,EST,HO,T,3A,3.3,48100,R
342,1058682,EST,HO,T,19,5.8,30015,R
343,1058985,EST,HO,T,4B,2.5,14308,R
344,1059591,EST,HO,T,FW1,0.3,4500,C
345,1059894,EST,HO,T,FW4,0.5,5855,C
346,1060399,EST,HO,T,GPM9,5.0,31505,C
347,1071307,EST,HO,T,4C,2.0,26000,R
348,1074135,EST,HO,T,6A,0.8,9302,R
349,1074236,EST,HO,T,3A,3.3,48100,R
350,1074539,EST,HO,T,19,5.8,30015,R
351,1074640,EST,HO,T,4B,2.5,14308,R
352,1075448,EST,HO,T,FW1,0.3,4500,C
353,1075852,EST,HO,T,6A,0.8,9302,R
354,1076054,EST,HO,T,3A,3.3,48100,R
355,1079791,EST,HO,T,19,5.8,30015,R
356,1080902,EST,HO,T,4B,2.5,14308,R
357,1081205,EST,HO,T,FW1,0.3,4500,C
358,1081407,EST,HO,T,FW4,0.5,5855,C
359,1085851,EST,HO,T,6A,0.8,9302,R
360,1086154,EST,HO,T,3A,3.3,48100,R
361,1086558,EST,HO,T,19,5.8,30015,R
362,1087770,EST,HO,T,4B,2.5,14308,R
363,1087871,EST,HO,T,FW1,0.3,4500,C
364,1092921,EST,HO,T,FW4,0.5,5855,C
365,707303,EST,HO,T,6A,0.8,9302,R
366,708414,EST,HO,T,3A,3.3,48100,R
367,1079387,EST,HO,T,19,5.8,30015,R
368,1079488,EST,HO,T,4B,2.5,14308,R
369,1079589,EST,HO,T,FW1,0.3,4500,C
370,1088275,EST,HO,T,6A,0.8,9302,R
371,1088376,EST,HO,T,3A,3.3,48100,R
372,1088679,EST,HO,T,19,5.8,30015,R
373,1088780,EST,HO,T,4B,2.5,14308,R
374,208161,EST,HO,T,FW1,0.3,4500,C
375,208767,EST,HO,T,FW4,0.5,5855,C
376,214928,EST,HO,T,6A,0.8,9302,R
377,218362,EST,HO,T,3A,3.3,48100,R
378,219170,EST,HO,T,19,5.8,30015,R
379,219473,EST,HO,T,4B,2.5,14308,R
380,219574,EST,HO,T,FW1,0.3,4500,C
381,1054238,EST,HO,T,FW4,0.5,5855,C
382,1059086,EST,HO,T,GPM9,5.0,31505,C
383,1071711,EST,HO,T,4C,2.0,26000,R
384,1072115,EST,HO,T,6A,0.8,9302,R
385,1072317,EST,HO,T,3A,3.3,48100,R
386,1072418,EST,HO,T,19,5.8,30015,R
387,1073933,EST,HO,T,4B,2.5,14308,R
388,1076256,EST,HO,T,FW1,0.3,4500,R
389,1081508,EST,HO,T,6A,0.8,9302,R
390,1081710,EST,HO,T,3A,3.3,48100,C
391,1081811,EST,HO,T,19,5.8,30015,R
392,1082114,EST,HO,T,4B,2.5,14308,R
393,1082215,EST,HO,T,FW1,0.3,4500,R
394,1085548,EST,HO,T,FW4,0.5,5855,R
395,1085750,EST,HO,T,6A,0.8,9302,C
396,808101,EST,HO,T,4B,2.5,14308,C
397,808202,EST,HO,T,GPM9,5.0,31505,C
398,811636,EST,HO,T,6A,0.8,9302,R
399,812848,EST,HO,T,3A,3.3,48100,R
400,812949,EST,HO,T,19,5.8,30015,R
401,814969,EST,HO,T,4B,2.5,14308,R
402,815070,EST,HO,T,FW1,0.3,4500,C
403,816080,EST,HO,T,FW4,0.5,5855,C
404,816686,EST,HO,T,GPM9,5.0,31505,C
405,816787,EST,HO,T,4C,2.0,26000,R
406,817696,EST,HO,T,6A,0.8,9302,R
407,818504,EST,HO,T,3A,3.3,48100,R
408,819312,EST,HO,T,19,5.8,30015,R
409,820019,EST,HO,T,4B,2.5,14308,R
410,820423,EST,HO,T,FW1,0.3,4500,C
411,821130,EST,HO,T,FW4,0.5,5855,C
412,824463,EST,HO,T,GPM9,5.0,31505,C
413,824867,EST,HO,T,4C,2.0,26000,R
414,827190,EST,HO,T,6A,0.8,9302,R
415,827695,EST,HO,T,3A,3.3,48100,R
416,1073630,EST,HO,T,19,5.8,30015,R
417,1073731,EST,HO,T,4B,2.5,14308,R
418,1074337,EST,HO,T,FW1,0.3,4500,C
419,1083831,EST,HO,T,6A,0.8,9302,R
420,1083932,EST,HO,T,3A,3.3,48100,R
421,1084033,EST,HO,T,19,5.8,30015,R
422,6065353,EST,HO,T,4B,2.5,14308,R
423,824059,EST,HO,T,FW1,0.3,4500,C
424,1096759,EST,HO,T,FW4,0.5,5855,C
425,1096860,EST,HO,T,6A,0.8,9302,R
426,1096961,EST,HO,T,3A,3.3,48100,R
427,1097062,EST,HO,T,19,5.8,30015,R
428,1097163,EST,HO,T,4B,2.5,14308,R
429,1414,EST,HO,T,FW1,0.3,4500,C
430,1089689,EST,HO,T,FW4,0.5,5855,C
431,1094941,EST,HO,T,6A,0.8,9302,R
432,1095042,EST,HO,T,3A,3.3,48100,R
433,1095143,EST,HO,T,19,5.8,30015,R
434,1095244,EST,HO,T,4B,2.5,14308,R
435,1095345,EST,HO,T,FW1,0.3,4500,C
436,1095446,EST,HO,T,6A,0.8,9302,R
437,1095547,EST,HO,T,3A,3.3,48100,R
438,1095648,EST,HO,T,19,5.8,30015,R
439,1095749,EST,HO,T,4B,2.5,14308,R
440,1095850,EST,HO,T,FW1,0.3,4500,C
441,1095951,EST,HO,T,FW4,0.5,5855,C
442,1096052,EST,HO,T,6A,0.8,9302,R
443,1096153,EST,HO,T,3A,3.3,48100,R
444,1096254,EST,HO,T,19,5.8,30015,R
445,1096456,EST,HO,T,4B,2.5,14308,R
446,1096557,EST,HO,T,FW1,0.3,4500,C
447,1096658,EST,HO,T,FW4,0.5,5855,C
448,1097264,EST,HO,T,GPM9,5.0,31505,C
449,1097365,EST,HO,T,4C,2.0,26000,R
450,1097466,EST,HO,T,6A,0.8,9302,R
451,1097567,EST,HO,T,3A,3.3,48100,R
452,1097668,EST,HO,T,19,5.8,30015,R
