Index,Estate,Division,EmpCode,Gender,DateofJoin,PAMACT,EmployeeAge
487,EST,LD,538835,M,2000-02-01,A,15.0
488,EST,LD,539239,M,2000-02-01,A,15.0
489,EST,LD,539340,M,2000-02-01,A,15.0
490,EST,LD,539441,M,2000-02-01,A,15.0
491,EST,LD,539643,M,2000-02-01,A,15.0
492,EST,LD,540047,F,2000-02-01,A,15.0
493,EST,LD,547824,F,2000-06-22,A,15.0
494,EST,LD,559237,F,2002-02-14,A,13.0
495,EST,LD,563075,F,2002-04-08,A,13.0
496,EST,LD,563277,F,2002-04-08,A,13.0
497,EST,LD,563378,F,2002-04-01,A,13.0
498,EST,LD,563479,F,2002-04-01,A,13.0
499,EST,LD,568327,M,,A,
500,EST,LD,571458,F,2004-02-20,A,11.0
501,EST,LD,577316,F,2005-06-13,A,10.0
502,EST,LD,1013737,M,2002-10-01,A,13.0
503,EST,LD,2020707,M,,A,
504,EST,LD,1086356,M,1986-03-23,T,29.0
505,EST,LD,1086457,F,1986-03-01,A,29.0
506,EST,LD,1086861,F,1968-11-30,T,47.0
507,EST,LD,1086962,F,1968-12-01,A,47.0
508,EST,LD,1087164,M,1971-04-01,A,44.0
509,EST,LD,1087265,M,1968-12-01,A,47.0
510,EST,LD,1087366,F,1980-08-20,A,35.0
511,EST,LD,1087467,F,1970-12-29,T,45.0
512,EST,LD,1087568,F,1972-11-22,A,43.0
513,EST,LD,820827,M,1972-11-22,T,43.0
514,EST,LD,823958,F,1973-02-12,T,42.0
515,EST,LD,822746,F,1975-08-28,A,40.0
516,EST,LD,822039,F,1974-08-01,A,41.0
517,EST,LD,826382,F,1975-03-21,A,40.0
518,EST,LD,811838,F,1975-03-21,A,40.0
519,EST,LD,580245,F,1975-03-21,A,40.0
520,EST,LD,580447,M,1975-03-21,A,40.0
521,EST,LD,587113,M,1975-03-21,A,40.0
522,EST,LD,587315,F,1975-03-21,T,40.0
523,EST,LD,588123,F,1977-01-03,A,39.0
524,EST,LD,580043,F,1972-01-10,A,44.0
525,EST,LD,580548,M,1972-11-20,T,43.0
526,EST,LD,577619,M,1977-05-19,A,38.0
527,EST,LD,580649,M,1977-05-19,A,38.0
528,EST,LD,581053,M,1975-03-21,A,40.0
529,EST,LD,581659,M,1977-05-19,A,38.0
530,EST,LD,582467,M,1977-05-19,A,38.0
531,EST,LD,585093,M,1977-05-19,A,38.0
532,EST,LD,588426,M,1980-08-01,T,35.0
533,EST,LD,590547,M,1986-11-12,T,29.0
534,EST,LD,577922,F,1978-10-02,A,37.0
535,EST,LD,581558,F,1978-10-02,A,37.0
536,EST,LD,582871,F,1978-05-09,A,37.0
